borough;numfloors;LAT;LONG;coordinates 
MN;22.0;40.7166122;-74.014350;40.7166122, -74.014350
MN;26.0;40.7090773;-74.018060;40.7090773, -74.018060
SI;8.0;40.6086012;-74.122520;40.6086012, -74.122520
QN;8.0;40.5958227;-73.743448;40.5958227, -73.743448
QN;10.0;40.6064245;-73.752861;40.6064245, -73.752861
QN;22.0;40.5932436;-73.753972;40.5932436, -73.753972
QN;15.0;40.592641;-73.758439;40.592641, -73.758439
QN;7.0;40.7155388;-73.773202;40.7155388, -73.773202
QN;12.0;40.6757517;-73.778024;40.6757517, -73.778024
QN;7.0;40.6681374;-73.779293;40.6681374, -73.779293
QN;8.0;40.7120258;-73.784764;40.7120258, -73.784764
QN;8.0;40.7087489;-73.786459;40.7087489, -73.786459
QN;8.0;40.7944735;-73.795733;40.7944735, -73.795733
QN;7.0;40.7045594;-73.798068;40.7045594, -73.798068
QN;24.0;40.7030829;-73.798177;40.7030829, -73.798177
QN;8.0;40.7077715;-73.798455;40.7077715, -73.798455
QN;12.0;40.7065092;-73.798668;40.7065092, -73.798668
QN;8.0;40.710023;-73.798946;40.710023, -73.798946
QN;13.0;40.5873368;-73.805562;40.5873368, -73.805562
QN;7.0;40.7063795;-73.806203;40.7063795, -73.806203
QN;7.0;40.710350;-73.813842;40.710350, -73.813842
QN;7.0;40.710043;-73.815769;40.710043, -73.815769
QN;7.0;40.7121714;-73.816553;40.7121714, -73.816553
QN;8.0;40.7606743;-73.818477;40.7606743, -73.818477
QN;7.0;40.7630976;-73.820001;40.7630976, -73.820001
QN;7.0;40.7669644;-73.821384;40.7669644, -73.821384
QN;7.0;40.7540833;-73.821433;40.7540833, -73.821433
QN;8.0;40.7668804;-73.822081;40.7668804, -73.822081
QN;7.0;40.7146966;-73.823555;40.7146966, -73.823555
BX;7.0;40.823279;-73.825565;40.823279, -73.825565
QN;20.0;40.7553276;-73.827443;40.7553276, -73.827443
BX;7.0;40.8519972;-73.827532;40.8519972, -73.827532
QN;12.0;40.7124656;-73.827536;40.7124656, -73.827536
QN;7.0;40.7548603;-73.828823;40.7548603, -73.828823
QN;8.0;40.7603747;-73.828946;40.7603747, -73.828946
QN;9.0;40.7553689;-73.829374;40.7553689, -73.829374
QN;7.0;40.7646415;-73.829935;40.7646415, -73.829935
QN;8.0;40.7627081;-73.831059;40.7627081, -73.831059
QN;10.0;40.7571695;-73.831268;40.7571695, -73.831268
QN;15.0;40.7647658;-73.832339;40.7647658, -73.832339
